0,0,0
1.75942e-09,-5.66323e-10,8.50136e-10
9.44384e-09,4.45624e-09,4.92268e-09
3.81849e-08,2.93421e-08,2.04456e-08
1.13013e-07,9.77069e-08,6.10255e-08
2.68694e-07,2.42359e-07,1.45557e-07
5.49575e-07,5.05152e-07,2.98133e-07
1.00942e-06,9.36837e-07,5.47954e-07
1.71125e-06,1.59692e-06,9.29241e-07
2.72719e-06,2.55351e-06,1.48115e-06
4.13834e-06,3.88318e-06,2.24767e-06
6.03454e-06,5.67083e-06,3.27756e-06
8.51433e-06,8.00954e-06,4.62425e-06
1.16847e-05,1.10004e-05,6.34574e-06
1.5661e-05,1.47525e-05,8.50456e-06
2.05668e-05,1.93826e-05,1.11676e-05
2.65335e-05,2.5015e-05,1.44062e-05
3.37008e-05,3.17817e-05,1.82958e-05
4.22158e-05,3.9822e-05,2.29161e-05
5.22333e-05,4.92822e-05,2.83509e-05
6.39155e-05,6.03159e-05,3.46878e-05
7.74321e-05,7.30836e-05,4.20188e-05
9.29598e-05,8.77527e-05,5.04391e-05
0.000110682,0.000104497,6.00483e-05
0.00013079,0.000123497,7.09492e-05
0.000153481,0.000144941,8.32484e-05
0.000178959,0.00016902,9.70561e-05
0.000207434,0.000195935,0.000112486
0.000239124,0.000225891,0.000129655
0.000274251,0.0002591,0.000148683
0.000313044,0.000295779,0.000169693
0.000355739,0.000336151,0.000192813
0.000402576,0.000380444,0.000218173
0.000453802,0.000428893,0.000245904
0.000509668,0.000481736,0.000276142
0.000570434,0.000539218,0.000309027
0.00063636,0.000601588,0.000344698
0.000707715,0.000669102,0.000383301
0.000784772,0.000742018,0.000424982
0.00086781,0.000820601,0.00046989
0.000957109,0.000905119,0.000518178
0.00105296,0.000995845,0.000569998
0.00115565,0.00109306,0.000625508
0.00126548,0.00119704,0.000684866
0.00138275,0.00130807,0.000748235
0.00150776,0.00142645,0.000815776
0.00164082,0.00155247,0.000887655
0.00178225,0.00168642,0.00096404
0.00193237,0.00182861,0.0010451
0.00209148,0.00197934,0.00113101
0.00225992,0.00213893,0.00122193
0.00243801,0.00230768,0.00131806
0.00262609,0.00248591,0.00141955
0.00282449,0.00267393,0.00152659
0.00303354,0.00287208,0.00163936
0.00325359,0.00308067,0.00175804
0.00348497,0.00330004,0.00188282
0.00372805,0.00353051,0.00201387
0.00398316,0.00377242,0.00215139
0.00425065,0.0040261,0.00229556
0.00453088,0.00429189,0.00244657
0.00482422,0.00457013,0.00260461
0.005131,0.00486117,0.00276987
0.0054516,0.00516535,0.00294254
0.00578639,0.00548302,0.00312281
0.00613571,0.00581453,0.00331088
0.00649995,0.00616023,0.00350694
0.00687947,0.00652048,0.00371119
0.00727464,0.00689562,0.00392382
